Mass,Gamma,Angle,Velocity,class
1.00,0.70,89.50,1.30,1.0
1.00,0.70,89.50,1.20,1.0
1.00,0.70,89.50,1.15,1.0
1.00,0.70,89.50,1.10,1.0
1.00,0.70,89.50,1.05,2.0
1.00,0.70,89.50,1.00,2.0
1.00,0.70,82.50,1.30,1.0
1.00,0.70,82.50,1.20,1.0
1.00,0.70,82.50,1.15,1.0
1.00,0.70,82.50,1.10,1.0
1.00,0.70,82.50,1.05,2.0
1.00,0.70,82.50,1.00,2.0
1.00,0.70,75.00,4.00,1.0
1.00,0.70,75.00,3.50,1.0
1.00,0.70,75.00,3.00,1.0
1.00,0.70,75.00,2.50,1.0
1.00,0.70,75.00,2.00,1.0
1.00,0.70,75.00,1.70,1.0
1.00,0.70,75.00,1.40,1.0
1.00,0.70,75.00,1.20,1.0
1.00,0.70,75.00,1.15,1.0
1.00,0.70,75.00,1.10,1.0
1.00,0.70,75.00,1.05,2.0
1.00,0.70,75.00,1.00,2.0
1.00,0.70,60.00,4.00,1.0
1.00,0.70,60.00,3.50,1.0
1.00,0.70,60.00,3.00,1.0
1.00,0.70,60.00,2.50,1.0
1.00,0.70,60.00,2.00,1.0
1.00,0.70,60.00,1.70,1.0
1.00,0.70,60.00,1.40,1.0
1.00,0.70,60.00,1.30,1.0
1.00,0.70,60.00,1.20,1.0
1.00,0.70,60.00,1.15,1.0
1.00,0.70,60.00,1.10,2.0
1.00,0.70,60.00,1.05,2.0
1.00,0.70,60.00,1.00,2.0
1.00,0.70,52.50,1.30,1.0
1.00,0.70,52.50,1.20,1.0
1.00,0.70,52.50,1.15,1.0
1.00,0.70,52.50,1.10,2.0
1.00,0.70,52.50,1.05,2.0
1.00,0.70,52.50,1.00,2.0
1.00,0.70,45.00,3.50,1.0
1.00,0.70,45.00,3.00,1.0
1.00,0.70,45.00,2.50,1.0
1.00,0.70,45.00,2.00,1.0
1.00,0.70,45.00,1.70,1.0
1.00,0.70,45.00,1.40,1.0
1.00,0.70,45.00,1.30,1.0
1.00,0.70,45.00,1.20,2.0
1.00,0.70,45.00,1.15,2.0
1.00,0.70,45.00,1.10,2.0
1.00,0.70,45.00,1.05,2.0
1.00,0.70,45.00,1.00,2.0
1.00,0.70,37.50,4.00,1.0
1.00,0.70,37.50,3.50,1.0
1.00,0.70,37.50,3.00,1.0
1.00,0.70,37.50,2.50,1.0
1.00,0.70,37.50,2.00,1.0
1.00,0.70,37.50,1.60,1.0
1.00,0.70,37.50,1.50,1.0
1.00,0.70,37.50,1.40,1.0
1.00,0.70,37.50,1.30,1.0
1.00,0.70,37.50,1.20,2.0
1.00,0.70,37.50,1.10,2.0
1.00,0.70,30.00,4.00,4.0
1.00,0.70,30.00,3.50,4.0
1.00,0.70,30.00,3.00,4.0
1.00,0.70,30.00,2.50,1.0
1.00,0.70,30.00,2.00,1.0
1.00,0.70,30.00,1.60,1.0
1.00,0.70,30.00,1.50,1.0
1.00,0.70,30.00,1.40,2.0
1.00,0.70,30.00,1.20,2.0
1.00,0.70,22.50,4.00,4.0
1.00,0.70,22.50,3.50,4.0
1.00,0.70,22.50,3.00,4.0
1.00,0.70,22.50,2.50,4.0
1.00,0.70,22.50,2.00,1.0
1.00,0.70,22.50,1.80,1.0
1.00,0.70,22.50,1.70,1.0
1.00,0.70,22.50,1.60,2.0
