Mass,Gamma,b,Velocity,class
4.55722E+16,0.359002987,0.457508912,12.65850148,2
1.32181E+15,0.352567557,0.557501668,2.908541111,2
1.20732E+16,0.561526567,0.242780313,10.47638273,2
7.36874E+16,0.258339814,0.786830197,15.64188664,2
9.02336E+16,0.742751124,0.842966612,17.19278166,2
1.37831E+14,0.18445322,0.656411251,3.659937952,1
2.12614E+16,0.045275537,0.288557836,10.00170605,2
1.56624E+16,0.577714177,0.611676714,11.74237882,2
3.73337E+13,0.8946461,0.903543587,5.28943718,1
5.13497E+15,0.100756929,0.951045147,4.423214002,2
1.18186E+16,0.311809857,0.456737521,9.055268149,2
1.88514E+13,0.225369157,0.91087899,17.06464077,1
2.12143E+14,0.749010832,0.460962028,5.705722409,2
4.0127E+13,0.180556645,0.866465698,4.930233802,1
7.17424E+16,0.151524992,0.563329039,18.59659029,2
2.12835E+16,0.340971159,0.678108174,8.389491461,2
2.90611E+13,0.561918147,0.568142006,3.325868177,1
2.43178E+14,0.419822714,0.210331368,5.131435348,2
4.87966E+16,0.74981824,0.361138654,12.42579238,2
2.62464E+15,0.836163135,0.181102037,3.247373484,2
3.40492E+14,0.13579376,0.514516746,5.688420919,1
7.6449E+16,0.255844209,0.283259106,21.20427144,2
2.28403E+13,0.173193348,0.935749879,4.60815015,1
2.80656E+16,0.792300675,0.862307769,15.01168744,2
1.57006E+13,0.826765256,0.889338192,5.846539742,1
8.10101E+16,0.783248885,0.874218164,20.49797935,2
1.86169E+14,0.379088974,0.770456752,2.673119831,2
1.13843E+15,0.483860722,0.759802122,4.692642718,2
1.44479E+16,0.295527823,0.975454635,10.55243019,2
1.67134E+14,0.757627606,0.389251767,20.69473863,4
7.64718E+16,0.665217456,0.997080926,5.813119985,2
1.89176E+16,0.304932298,0.947555154,14.12282333,2
2.85836E+13,0.618743148,0.96872394,6.329756446,1
1.8883E+16,0.065558022,0.185218605,11.20950834,2
1.8858E+13,0.561409019,0.356131063,3.812169853,3
4.51221E+15,0.388475125,0.880581977,7.061023581,2
5.22075E+16,0.101486652,0.733580204,18.50050601,2
1.14399E+14,0.456510241,0.789768343,3.947648109,1
7.24244E+16,0.188026246,0.825690398,19.7235385,2
9.97922E+13,0.617811099,0.660265907,3.058290993,2
7.55938E+14,0.293888778,0.888506776,3.671192259,2
5.03588E+13,0.41468323,0.54801139,9.36835712,4
3.06476E+15,0.195587995,0.95705736,2.550065013,2
8.16216E+14,0.134231957,0.532811644,7.894995566,1
7.17781E+16,0.08998409,0.600095437,21.67944946,2
3.41609E+13,0.044046595,0.620009657,8.665505564,3
1.61261E+13,0.762729714,0.802498428,10.12328625,1
4.70022E+13,0.894355565,0.966509476,3.964447815,1
2.26129E+15,0.364211594,0.700821885,6.64184785,2
2.56505E+15,0.860676083,0.477600688,7.250209595,2
1.4514E+14,0.308676459,0.783840966,12.47457787,1
5.33044E+16,0.386167557,0.488561616,18.09834741,2
1.95018E+14,0.968859885,0.840621454,3.632107679,1
9.55013E+14,0.102033238,0.554286434,11.43253282,1
3.4948E+13,0.491445585,0.642949383,6.486026136,1
2.81255E+13,0.48407008,0.704695136,2.472871054,1
5.48392E+15,0.701151518,0.794002488,9.957693866,2
6.13186E+13,0.608113476,0.870221298,4.989888882,1
1.60697E+16,0.91837438,0.65587404,10.92946748,2
2.23449E+14,0.798222828,0.895842787,2.2293214,2
7.40186E+13,0.710407318,0.925155304,3.200591565,1
7.50517E+13,0.429994589,0.846583604,3.104335228,1
4.79513E+13,0.711759409,0.365482005,13.36669413,4
8.11962E+16,0.507319713,0.625453442,14.71471716,2
5.89826E+16,0.134895617,0.354716192,16.19301267,2
4.53439E+15,0.826683065,0.590277352,8.998533207,2
5.03246E+16,0.836946126,0.90111468,18.91742844,2
7.3088E+15,0.890021225,0.73885216,5.336276018,2
7.68233E+13,0.955201268,0.669933671,5.763514083,1
2.14859E+13,0.754534233,0.613802642,7.007656198,3
1.46151E+16,0.169093888,0.454138197,10.43193835,2
1.66825E+13,0.528203288,0.539157288,3.065129979,1
1.58783E+15,0.084206498,0.163895204,4.506545598,2
1.56997E+16,0.474364571,0.92620979,11.50643767,2
5.16717E+13,0.485267368,0.556276495,18.152036,4
5.76334E+16,0.718713964,0.578056364,20.77216226,2
1.78489E+13,0.445868668,0.66214819,4.161075127,1
5.91356E+14,0.406166925,0.871409821,3.518798866,2
1.56418E+14,0.201194363,0.217866268,2.257067253,2
3.29119E+15,0.743205942,0.466490669,7.035737465,2
8.63328E+14,0.646558861,0.87062073,5.415621745,1
2.61881E+13,0.159261206,0.922307379,1.272001747,2
1.61673E+16,0.961169116,0.473641816,6.111323672,2
2.12978E+14,0.3949369,0.999358486,6.788100978,1
1.68507E+14,0.145849417,0.476766799,6.911074489,2
2.04469E+14,0.30152235,0.573959048,8.962251146,1
5.19829E+13,0.312727618,0.667181584,7.212464422,1
2.30896E+13,0.072166743,0.076499455,6.752270801,4
1.91666E+13,0.014691812,0.784191288,2.170671389,1
3.63492E+13,0.336777414,0.486254285,12.31673116,4
6.27731E+15,0.680037314,0.241225697,5.966073593,2
7.4364E+13,0.212296427,0.139738908,2.910453251,2
1.99029E+14,0.148133483,0.573998683,4.208055714,2
6.3979E+13,0.340997042,0.651610057,6.538783099,1
1.89019E+16,0.446378226,0.518320651,8.334180432,2
2.15691E+13,0.953476913,0.189154964,16.6277332,4
9.03714E+16,0.839617578,0.422486926,12.07135686,2
1.03369E+14,0.294032287,0.390253984,16.43925886,4
6.64819E+14,0.567588684,0.922990492,4.989064189,1
2.04288E+16,0.580697521,0.217526306,11.78371044,2
8.29133E+13,0.916519662,0.367925799,2.07194905,2
7.14202E+13,0.454601756,0.424097214,6.374639582,3
1.01976E+16,0.8533079,0.334430051,14.99803965,2
4.25692E+13,0.499509354,0.721467355,8.717659654,1
5.33231E+16,0.885851433,0.845421923,18.21942613,2
3.15799E+16,0.96155996,0.275587466,15.29490955,2
5.60307E+15,0.058735492,0.592514255,8.788322497,2
1.06446E+14,0.365106552,0.265648276,13.40636061,4
3.01132E+14,0.005667605,0.573236431,2.245201677,2
2.05498E+16,0.54551093,0.558873201,8.487772468,2
2.88348E+14,0.484509876,0.922812103,8.916530075,1
4.48441E+16,0.85800593,0.831317457,13.44955663,2
6.79115E+14,0.189686385,0.643064246,4.391979329,2
5.33407E+16,0.737462871,0.231034869,11.58424348,2
3.42058E+13,0.834308215,0.633118158,5.151553197,1
3.10061E+15,0.214190412,0.658419197,4.005632171,2
2.8779E+14,0.294163592,0.745011376,6.264217209,1
7.20421E+16,0.595868603,0.372349903,18.21057478,2
8.28698E+13,0.322267564,0.690709352,5.30307974,1
7.15857E+16,0.322786419,0.601417236,19.38055572,2
5.33569E+16,0.50867015,0.06026121,6.868509944,2
2.37977E+16,0.47144278,0.661220983,11.6908602,2
1.95878E+14,0.531571861,0.599060715,2.774243069,2
5.15672E+13,0.948723091,0.505509829,14.17568089,4
1.66408E+13,0.804462875,0.65686458,5.284974881,1
2.42815E+14,0.668432295,0.572960557,13.28290415,3
2.296E+15,0.596895064,0.234945452,5.189947362,2
1.89462E+16,0.142815028,0.159017209,12.98755979,2
5.76812E+16,0.235611979,0.707646213,20.11053431,2
1.22374E+14,0.834068002,0.557611235,6.920490303,1
3.56781E+13,0.897729558,0.864579396,3.151788948,1
2.48828E+14,0.87485624,0.977847157,3.346353858,2
3.17769E+13,0.24632296,0.623080782,7.471148212,3
1.89234E+16,0.084766722,0.361689126,6.497178979,2
6.42172E+13,0.765457807,0.232347916,4.44602705,2
3.21767E+13,0.430318384,0.440932256,3.535149277,2
3.82662E+13,0.877589446,0.666231737,1.86316135,2
5.21269E+14,0.186313152,0.994023875,6.712063101,1
2.95839E+13,0.371130082,0.499306126,5.93725331,3
1.05833E+14,0.594535638,0.470285836,2.220034123,2
3.20479E+15,0.984707353,0.694974014,7.094673196,2
1.27444E+16,0.919709636,0.747164989,10.15476778,2
2.80813E+16,0.733059038,0.415033197,13.63914455,2
1.46318E+16,0.66199664,0.916754829,8.334013039,2
1.41321E+15,0.270771285,0.182072936,8.485608901,2
8.79128E+16,1.24049E-06,0.479751198,17.70234893,2
1.60017E+15,0.258187335,0.048744722,3.474246123,2
4.65439E+14,0.439015846,0.993456902,5.585926366,1
2.81223E+13,0.057366456,0.430814463,6.358182766,4
1.90177E+16,0.002716559,0.768748164,6.321872643,2
6.5335E+15,0.217864535,0.510144764,4.967827964,2
3.42168E+13,0.060092113,0.855502721,6.820619752,1
4.79342E+13,0.904800911,0.529253832,6.016799105,1
3.417E+13,0.357043819,0.92650448,5.776139429,1
7.25587E+16,0.010879412,0.778054754,20.54995072,2
1.93929E+13,0.168751055,0.954655861,7.321279403,1
2.60201E+16,0.664127102,0.260421321,11.85353641,2
4.49195E+14,0.781650907,0.863870571,3.855749421,2
4.51637E+13,0.780392528,0.335488,11.1307481,4
1.60983E+16,0.506830162,0.321647399,8.727607326,2
3.31912E+13,0.448479126,0.721210993,9.836593946,3
5.08758E+15,0.72093485,0.21291431,7.042630218,2
1.54566E+14,0.314038716,0.469016252,15.3975527,4
5.82003E+16,0.925468157,0.151355416,18.18262777,2
2.83832E+16,0.298195262,0.31395842,12.62327968,2
8.12759E+16,0.625940446,0.432358185,17.38974472,2
2.81727E+16,0.090474761,0.1334629,8.437974906,2
3.3884E+15,0.815339235,0.607016258,5.364712618,2
4.57218E+15,0.620638237,0.744929752,3.421160596,2
1.51882E+16,0.969502946,0.790518773,12.68018234,2
1.03641E+14,0.918582683,0.57956425,4.699323392,1
5.47354E+13,0.147822727,0.570874124,23.20967027,4
2.25699E+13,0.120262407,0.592185197,3.442838026,1
2.83478E+16,0.103416647,0.718061969,8.933156041,2
3.11016E+16,0.965069589,0.347100447,17.75142336,2
4.33219E+13,0.0081962,0.814740175,4.253882113,1
1.04018E+15,0.397477408,0.684302315,5.893345226,2
1.35627E+14,0.522165704,0.412195094,4.498618567,2
2.26403E+15,0.727935319,0.496293132,5.9478444,2
1.74019E+13,0.851312256,0.889810336,3.181608374,1
3.00431E+13,0.157075038,0.238266983,7.210458569,4
2.33054E+13,0.792862064,0.577037774,3.192530524,1
6.22101E+13,0.795658841,0.472397558,9.541296276,4
5.91687E+16,0.715439636,0.37512618,16.56955981,2
5.81191E+13,0.043947511,0.898928578,7.493913517,1
2.07697E+15,0.360315937,0.848922173,9.833701064,1
3.89364E+16,0.344979768,0.317833697,13.93910724,2
8.15285E+13,0.90373412,0.568735001,3.460517615,1
1.98408E+13,0.449716821,0.584625572,12.75411997,4
7.37303E+16,0.689292895,0.278608678,2.934003021,2
2.321E+15,0.161161803,0.636400939,6.176332136,2
3.50787E+14,0.41310143,0.650435843,8.55616095,1
3.01053E+14,0.076448235,0.695807849,5.782697888,1
2.38063E+14,0.859300287,0.704635497,18.84442681,3
7.48026E+16,0.25939828,0.955053433,5.19807965,2
2.02817E+13,0.416537064,0.345043458,6.495615668,4
2.83989E+16,0.990459276,0.434235302,11.7591933,2
1.21444E+16,0.829941991,0.375151886,7.376663057,2
5.4977E+13,0.451981196,0.495467135,2.961642509,2
8.44369E+14,0.006671254,0.250050775,6.056569145,2
2.28144E+15,0.729504885,0.401743803,3.779568339,2
1.97975E+13,0.816903828,0.40422703,4.555971332,3
4.81726E+15,0.823873757,0.318713415,7.108148857,2
4.36254E+16,0.865547221,0.454364062,18.30302063,2
1.76885E+15,0.681058345,0.815188847,3.803305887,2
1.25645E+14,0.209785743,0.291824153,4.581397426,2
3.85518E+14,0.302247683,0.783825006,3.657862136,2
2.52544E+13,0.180634591,0.551970278,7.079204646,4
1.84934E+15,0.297785364,0.843119836,8.418377775,1
6.71677E+13,0.164160925,0.911716686,5.695159189,1
2.51856E+13,0.119734603,0.225748896,10.8779605,4
1.88234E+14,0.964675782,0.385068007,4.683850648,2
9.9109E+13,0.382074077,0.668077749,5.852324645,1
2.8715E+16,0.655185901,0.626339236,13.01108385,2
1.04331E+16,0.139480879,0.748354209,11.75785523,2
2.18925E+13,0.521786814,0.786836391,9.743695445,1
1.24943E+17,0.731113231,0.426843894,21.07948228,2
8.66019E+14,0.436274511,0.357264461,5.353602783,2
3.02788E+13,0.262288512,0.363605911,3.759694857,2
2.63746E+13,0.153447841,0.736016188,5.592667384,1
6.71158E+15,0.152532165,0.695167893,7.166377508,2
2.72163E+13,0.869937222,0.906831355,12.60134622,1
2.0706E+14,0.383140644,0.996504391,36.01238132,1
3.11888E+16,0.602294031,0.588777492,13.46960407,2
2.81114E+13,0.405493123,0.934695754,8.189461382,1
1.43848E+14,0.139958732,0.75146843,31.82335093,4
7.30853E+13,0.267044825,0.27942617,3.515753623,2
7.26091E+16,0.329653178,0.676366686,26.74815377,2
5.92268E+16,0.648714957,0.806130349,20.13743347,1
1.63744E+13,0.503638915,0.376999657,12.94131347,4
7.17439E+15,0.088534651,0.975760917,8.732614537,2
5.88599E+14,0.999167914,0.956607875,4.987777342,2
1.06268E+16,0.137279261,0.162760907,8.697560737,2
8.47195E+13,0.758476105,0.394653525,14.29204512,4
4.49247E+16,0.930023176,0.70780099,15.09250484,2
